aoa trading log,,,,,
date,Entry / Exit,yield,position,answer,win/lose
2022-07-26,21025 / 21,112,0.43%,long,-,-
2022-07-25,21921 / 21025,-4.08%,long,short,lose
2022-07-24,22501 / 21921,-2.58%,long,short,lose
2022-07-22,23637 / 22501,-4.80%,long,short,lose
2022-07-21,22699 / 23637,-3.97%,short,long,lose
2022-07-20,23792 / 22699,4.80%,short,short,win
2022-07-19,22171 / 23792,7.31%,long,long,win
2022-07-18,22223 / 22171,-0.26%,long,short,lose
2022-07-17,21175 / 22223,-4.73%,short,long,lose
2022-07-16,20630 / 21175,-2.57%,short,long,lose
2022-07-15,21024 / 20630,-1.88%,long,short,lose
2022-07-14,19786 / 21024,-5.89%,short,long,lose
2022-07-13,19423 / 19786,-1.82%,short,long,lose
2022-07-12,19883 / 19423,2.47%,short,short,win
2022-07-11,20554 / 19883,3.36%,short,short,win
2022-07-10,21252 / 20554,3.39%,short,short,win
2022-07-09,21600 / 21252,1.64%,short,short,win
2022-07-08,21404 / 21600,0.92%,long,long,win
2022-07-07,20394 / 21404,4.96%,long,long,win
2022-07-06,20199 / 20394,0.97%,long,long,win
2022-07-05,19383 / 20199,4.21%,long,long,win
2022-07-04,19744 / 19383,-1.83%,long,short,lose
2022-07-03,19030 / 19744,-3.62%,short,long,lose
2022-07-02,19250 / 19030,1.15%,short,short,win
2022-07-01,19321 / 19250,0.38%,short,short,win
2022-06-30,19139 / 19321,0.95%,long,long,win
2022-06-29,19997 / 19139,4.49%,short,short,win
2022-06-28,21026 / 19997,-4.87%,long,short,lose
2022-06-27,20775 / 21026,1.23%,long,long,win
2022-06-26,21364 / 20775,-2.60%,long,short,lose
2022-06-25,21196 / 21364,0.88%,long,long,win
2022-06-24,21246 / 21196,-0.23%,long,short,lose
2022-06-23,20549 / 21246,3.40%,long,long,win
2022-06-22,20653 / 20549,0.51%,short,short,win
2022-06-21,21119 / 20653,-2.21%,long,short,lose
2022-06-20,20468 / 21119,3.18%,long,long,win
2022-06-19,19467 / 20468,-4.89%,short,long,lose
2022-06-18,19146 / 19467,-1.65%,short,long,lose
2022-06-17,20650 / 19146,7.85%,short,short,win
2022-06-16,21213 / 20650,-2.65%,long,short,lose
2022-06-15,21399 / 21213,-0.86%,long,short,lose
2022-06-14,22168 / 21399,3.65%,short,short,win
2022-06-13,23408 / 22168,-5.30%,long,short,lose
2022-06-12,27013 / 23408,-13.33%,long,short,lose
2022-06-11,28411 / 27013,-4.91%,long,short,lose
2022-06-10,30149 / 28411,6.13%,short,short,win
2022-06-09,30095 / 30149,0.18%,long,long,win
2022-06-08,30283 / 30095,0.62%,short,short,win
2022-06-07,29552 / 30283,-2.09%,short,long,lose
2022-06-06,31391 / 29552,-5.86%,long,short,lose
2022-06-05,29759 / 31391,5.49%,long,long,win
2022-06-03,29699 / 29759,-0.20%,short,long,lose
2022-06-02,29690 / 29699,0.03%,long,long,win
2022-06-01,31776 / 29690,-6.56%,long,short,lose
2022-05-31,31321 / 31776,-1.45%,short,long,lose
2022-05-30,30522 / 31321,-2.58%,short,long,lose
2022-05-29,29389 / 30522,-3.71%,short,long,lose
2022-05-28,29060 / 29389,1.13%,long,long,win
2022-05-27,29272 / 29060,0.73%,short,short,win
2022-05-26,28771 / 29272,1.74%,long,long,win
2022-05-25,29565 / 28771,2.73%,short,short,win
2022-05-24,28923 / 29565,-2.21%,short,long,lose
2022-05-23,30402 / 28923,-4.86%,long,short,lose
2022-05-22,30212 / 30402,0.63%,long,long,win
2022-05-21,29359 / 30212,2.91%,long,long,win
2022-05-20,30113 / 29359,2.57%,short,short,win
2022-05-19,29519 / 30113,2.01%,long,long,win
2022-05-18,29430 / 29519,0.30%,long,long,win
2022-05-17,30429 / 29430,3.39%,short,short,win
2022-05-16,29886 / 30429,-1.77%,short,long,lose
2022-05-15,30320 / 29886,-1.46%,long,short,lose
2022-05-13,30358 / 30320,-0.13%,long,short,lose
2022-05-12,28236 / 30358,7.59%,long,long,win
2022-05-11,31339 / 28236,10.98%,short,short,win
2022-05-10,31750 / 31339,-1.36%,long,short,lose
2022-05-09,35411 / 31750,-10.34%,long,short,lose
2022-05-05,39292 / 35411,11.00%,short,short,win
2022-05-04,38902 / 39292,-0.99%,short,long,lose
2022-05-03,38433 / 38902,-1.22%,short,long,lose
2022-05-02,38799 / 38433,-0.94%,long,short,lose
2022-05-01,38023 / 38799,-1.99%,short,long,lose
2022-04-30,38512 / 38023,-1.27%,long,short,lose
2022-04-29,39196 / 38512,-1.74%,long,short,lose
2022-04-28,39402 / 39196,0.56%,short,short,win
2022-04-27,39219 / 39402,-0.52%,short,long,lose
2022-04-26,40298 / 39219,-2.66%,long,short,lose
2022-04-25,38897 / 40298,3.60%,long,long,win
2022-04-24,39584 / 38897,1.80%,short,short,win
2022-04-23,39669 / 39584,-0.21%,long,short,lose
2022-04-22,40365 / 39669,1.73%,short,short,win
2022-04-21,42724 / 40365,5.84%,short,short,win
2022-04-20,41564 / 42724,-2.72%,short,long,lose
2022-04-19,41314 / 41564,-0.60%,short,long,lose
2022-04-18,39418 / 41314,-4.59%,short,long,lose
2022-04-17,40484 / 39418,-2.63%,long,short,lose
2022-04-16,40406 / 40484,-0.19%,short,long,lose
2022-04-15,40197 / 40406,-0.52%,short,long,lose
2022-04-14,41230 / 40197,2.57%,short,short,win
2022-04-13,40092 / 41230,-2.76%,short,long,lose
2022-04-12,40608 / 40092,-1.28%,long,short,lose
2022-04-11,41009 / 40608,-0.98%,long,short,lose
2022-04-10,42608 / 41009,3.90%,short,short,win
2022-04-09,42477 / 42608,-0.31%,short,long,lose
2022-04-08,42896 / 42477,0.98%,short,short,win
2022-04-07,43622 / 42896,-1.66%,long,short,lose
2022-04-06,44111 / 43622,-1.08%,long,short,lose
2022-04-05,46447 / 44111,-5.03%,long,short,lose
2022-04-04,46152 / 46447,-0.63%,short,long,lose
2022-04-03,46506 / 46152,-0.76%,long,short,lose
2022-04-02,46774 / 46506,-0.57%,long,short,lose
2022-04-01,45550 / 46774,-2.59%,short,long,lose
2022-03-31,47046 / 45550,-3.20%,long,short,lose
2022-03-30,46906 / 47046,0.29%,long,long,win
2022-03-29,47871 / 46906,2.06%,short,short,win
2022-03-28,47516 / 47871,0.75%,long,long,win
2022-03-27,44538 / 47516,-6.28%,short,long,lose
2022-03-26,44306 / 44538,0.53%,long,long,win
2022-03-25,44882 / 44306,1.31%,short,short,win
2022-03-24,42965 / 44882,4.46%,long,long,win
2022-03-23,42181 / 42965,1.87%,long,long,win
2022-03-22,42898 / 42181,-1.67%,long,short,lose
2022-03-21,41459 / 42898,3.47%,long,long,win
2022-03-20,41489 / 41459,0.07%,short,short,win
2022-03-19,41768 / 41489,-0.67%,long,short,lose
2022-03-18,40505 / 41768,-3.02%,short,long,lose
2022-03-17,40985 / 40505,1.19%,short,short,win
2022-03-16,40519 / 40985,1.15%,long,long,win
2022-03-15,38515 / 40519,5.19%,long,long,win
2022-03-14,38846 / 38515,-0.83%,long,short,lose
2022-03-13,38721 / 38846,0.32%,long,long,win
2022-03-12,39192 / 38721,1.22%,short,short,win
2022-03-11,39225 / 39192,0.08%,short,short,win
2022-03-10,38754 / 39225,-1.20%,short,long,lose
2022-03-09,41920 / 38754,-7.49%,long,short,lose
2022-03-08,38844 / 41920,7.92%,long,long,win
2022-03-07,39044 / 38844,0.51%,short,short,win
2022-03-06,38881 / 39044,0.41%,long,long,win
2022-03-05,39030 / 38881,0.37%,short,short,win
2022-03-04,41192 / 39030,5.54%,short,short,win
2022-03-03,43847 / 41192,6.44%,short,short,win
2022-03-02,43495 / 43847,-0.80%,short,long,lose
2022-03-01,44521 / 43495,2.36%,short,short,win
2022-02-28,38036 / 44521,17.05%,long,long,win
2022-02-27,39073 / 38036,-2.69%,long,short,lose
2022-02-26,39114 / 39073,-0.11%,long,short,lose
2022-02-25,39321 / 39114,0.53%,short,short,win
2022-02-24,35390 / 39321,11.09%,long,long,win
2022-02-23,39147 / 35390,-9.63%,long,short,lose
2022-02-22,37478 / 39147,-4.26%,short,long,lose
2022-02-21,37597 / 37478,0.32%,short,short,win
2022-02-20,38194 / 37597,1.58%,short,short,win
2022-02-19,39917 / 38194,4.50%,short,short,win
2022-02-18,40384 / 39917,-1.15%,long,short,lose
2022-02-17,42533 / 40384,5.32%,short,short,win
2022-02-16,43885 / 42533,-3.08%,long,short,lose
2022-02-15,44188 / 43885,-0.68%,long,short,lose
2022-02-14,42494 / 44188,3.99%,long,long,win
2022-02-13,42557 / 42494,-0.15%,long,short,lose
2022-02-12,42288 / 42557,-0.63%,short,long,lose
2022-02-11,43705 / 42288,-3.24%,long,short,lose
2022-02-10,44940 / 43705,-2.75%,long,short,lose
2022-02-09,44132 / 44940,1.83%,long,long,win
2022-02-08,43519 / 44132,-1.39%,short,long,lose
2022-02-07,42718 / 43519,1.88%,long,long,win
2022-02-06,41664 / 42718,2.53%,long,long,win
2022-02-05,41406 / 41664,0.62%,long,long,win
2022-02-04,37927 / 41406,9.17%,long,long,win
2022-02-03,36668 / 37927,3.43%,long,long,win
2022-02-02,38695 / 36668,5.24%,short,short,win
2022-02-01,38732 / 38695,0.10%,short,short,win
2022-01-31,37131 / 38732,4.33%,long,long,win
2022-01-30,37933 / 37131,2.11%,short,short,win
2022-01-29,37819 / 37933,0.31%,long,long,win
2022-01-28,36450 / 37819,3.75%,long,long,win
2022-01-27,36616 / 36450,-0.46%,long,short,lose
2022-01-26,37879 / 36616,3.45%,short,short,win
2022-01-25,36427 / 37879,-3.93%,short,long,lose
2022-01-24,33561 / 36427,8.52%,long,long,win
2022-01-23,35819 / 33561,-6.27%,long,short,lose
2022-01-22,35681 / 35819,0.38%,long,long,win
2022-01-21,38295 / 35681,-6.86%,long,short,lose
2022-01-20,42000 / 38295,-8.76%,long,short,lose
2022-01-19,42196 / 42000,-0.47%,long,short,lose
2022-01-18,41577 / 42196,1.49%,long,long,win
2022-01-17,42654 / 41577,-2.52%,long,short,lose
2022-01-16,42839 / 42654,0.44%,short,short,win
2022-01-15,42701 / 42839,-0.32%,short,long,lose
2022-01-14,42195 / 42701,1.20%,long,long,win
2022-01-13,43725 / 42195,3.50%,short,short,win
2022-01-12,43300 / 43725,-0.98%,short,long,lose
2022-01-11,41810 / 43300,-3.56%,short,long,lose
2022-01-10,40940 / 41810,2.13%,long,long,win
2022-01-09,41688 / 40940,-1.79%,long,short,lose
2022-01-08,41835 /41688,-0.35%,long,short,lose
2022-01-07,42304 / 41835,-1.11%,long,short,lose
2022-01-06,43100 / 42304,1.85%,short,short,win
2022-01-05,46175 / 43100,-6.65%,long,short,lose
2022-01-04,46600 / 46175,-0.91%,long,short,lose
2022-01-03,47300 / 46600,1.48%,short,short,win
2022-01-02,47158 / 47300,0.30%,long,long,win
2022-01-01,47250 / 47158,-0.19%,long,short,lose
2021-12-31,47948 / 47250,-1.46%,long,short,lose
2021-12-30,47599 / 47948,-0.73%,short,long,lose
2021-12-29,48484 / 47599,-1.83%,long,short,lose
2021-12-12,48484 / 49669,-2.36%,short,long,lose
2021-12-11,49051 / 48484,1.16%,short,short,win
2021-12-10,49380 / 49051,-0.67%,long,short,lose
2021-12-09,49349 / 49380,0.06%,long,long,win
2021-12-08,50863 / 49349,-2.98%,long,short,lose
2021-12-07,48523 / 50863,4.82%,long,long,win
2021-12-06,49224 / 48523,1.42%,short,short,win
2021-12-05,47118 / 49224,-4.47%,short,long,lose
2021-12-04,56807 / 47118,-17.06%,long,short,lose
2021-12-03,56576 / 56807,-0.41%,short,long,lose
2021-12-02,57074 / 56576,0.87%,short,short,win
2021-12-01,57884 / 57074,-1.40%,long,short,lose
2021-11-30,57000 / 57884,1.55%,long,long,win
2021-11-29,54472 / 57000,4.64%,long,long,win
2021-11-28,54771 / 54472,0.55%,short,short,win
2021-11-27,54245 / 54771,-0.97%,short,long,lose
2021-11-26,58726 / 54245,-7.63%,long,short,lose
2021-11-25,56443 / 58726,4.04%,long,long,win
2021-11-24,56650 / 56443,0.37%,short,short,win
2021-11-23,57206 / 56650,0.97%,short,short,win
2021-11-22,59047 / 57206,-3.12%,long,short,lose
2021-11-21,58580 / 59047,-0.80%,short,long,lose
2021-11-20,56856 / 58580,-3.03%,short,long,lose
2021-11-19,59234 / 56856,-4.01%,long,short,lose
2021-11-18,60324 / 59234,1.81%,short,short,win
2021-11-17,60660 / 60324,0.55%,short,short,win
2021-11-16,65734 / 60660,7.72%,short,short,win
2021-11-15,"64,653 / 65734",-1.67%,short,long,lose
2021-11-14,"63,625 / 64,653",1.62%,long,long,win
2021-11-13,"63,870 / 63,625",-0.38%,long,short,lose
2021-11-12,"64,808 / 63,870",-1.45%,long,short,lose
2021-11-11,"66,427 / 64,808",2.44%,short,short,win
2021-11-10,"67,899 / 66,427",2.17%,short,short,win
2021-11-09,"65,880 / 67,899",-3.06%,short,long,lose
2021-11-08,"61,954 / 65,880",-6.34%,short,long,lose
2021-11-07,"60,458 / 61,954",2.47%,long,long,win
2021-11-06,"61,502 / 60,458",1.70%,short,short,win
2021-11-05,"61,717 / 61,502",-0.35%,long,short,lose
2021-11-04,"62,600 / 61,717",-1.41%,long,short,lose
2021-11-03,"63,168 / 62,600",0.90%,short,short,win
2021-11-02,"61,892 / 63,168",2.06%,long,long,win
2021-11-01,"60,449 / 61,892",-2.39%,short,long,lose
2021-10-31,"61,623 / 60,449",-1.91%,long,short,lose
2021-10-30,"61,000 / 61,623",1.02%,long,long,win
2021-10-29,"61,228 / 61,000",-0.37%,long,short,lose
2021-10-28,"59,001 / 61,228",-3.77%,short,long,lose
2021-10-27,"62,475 / 59,001",5.56%,short,short,win
2021-10-26,"62,941 / 62,475",-0.74%,long,short,lose
2021-10-25,"60,493 / 62,941",-4.05%,short,long,lose
2021-10-24,"61,714 / 60,493",-1.98%,long,short,lose
2021-10-23,"63,590 / 61,714",-2.95%,long,short,lose
2021-10-22,"64,960 / 63,590",2.11%,short,short,win
2021-10-21,"64,394 / 64,960",0.88%,long,long,win
2021-10-20,"62,200 / 64,394",3.53%,long,long,win
2021-10-19,"60,238 / 62,200",3.26%,long,long,win
2021-10-18,"60,865 / 60,238",1.03%,short,short,win
2021-10-17,"60,823 / 60,865",0.07%,long,long,win
2021-10-16,"59,300 / 60,823",2.57%,long,long,win
2021-10-15,"57,581 / 59,300",2.99%,long,long,win
2021-10-14,"55,049 / 57,581",4.60%,long,long,win
2021-10-13,"56,903 / 55,049",-3.26%,long,short,lose
2021-10-12,"56,482 / 56,903",0.75%,long,long,win
2021-10-11,"54,948 / 56,482",-2.79%,short,long,lose
2021-10-10,"55,071 / 54,948",-0.22%,long,short,lose
2021-10-09,"55,032 / 55,071",0.07%,long,long,win
2021-10-08,"54,070 / 55,032",1.78%,long,long,win
2021-10-07,"52,744 / 54,070",2.51%,long,long,win
2021-10-06,"49,989 / 52,744",5.51%,long,long,win
2021-10-05,"47,668 / 49,989",-4.87%,short,long,lose
2021-10-04,"47,994 / 47,668",-0.68%,long,short,lose
2021-10-03,"47,735 / 47,994",0.54%,long,long,win
2021-10-02,"47,315 / 47,735",0.89%,long,long,win
2021-10-01,"43,338 / 47,315",9.18%,long,long,win
2021-09-30,"42,049 / 43,338",3.07%,long,long,win
2021-09-29,"41,904 / 42,049",-0.35%,short,long,lose
2021-09-28,"43,667 / 41,904",-4.04%,long,short,lose
2021-09-27,"43,231 / 43,667",1.01%,long,long,win
2021-09-26,"42,311 / 43,231",2.17%,long,long,win
2021-09-25,"41,006 / 42,311",-3.18%,short,long,lose
2021-09-24,"43,672 / 41,006",-6.10%,long,short,lose
2021-09-23,"42,114 / 43,672",-3.70%,short,long,lose
2021-09-22,"43,157 / 42,114",2.42%,short,short,win
2021-09-21,"43,527 / 43,157",0.85%,short,short,win
2021-09-20,"47,258 / 43,527",7.89%,short,short,win
2021-09-19,"48,370 / 47,258",-2.30%,long,short,lose
2021-09-18,"47,474 / 48,370",-1.89%,short,long,lose
2021-09-17,"48,054 / 47,474",-1.21%,long,short,lose
2021-09-16,"47,410 / 48,054",1.36%,long,long,win
2021-09-15,"46,552 / 47,410",1.84%,long,long,win
2021-09-14,"44,610 / 46,552",4.35%,long,long,win
2021-09-13,"45,984 / 44,610",2.99%,short,short,win
2021-09-12,"45,520 / 45,984",1.02%,long,long,win
2021-09-11,"45,917 / 45,520",0.86%,short,short,win
2021-09-10,"46,600 / 45,917",-1.47%,long,short,lose
2021-09-09,"46,380 / 46,600",0.47%,long,long,win
2021-09-08,"51,413 / 46,380",9.79%,short,short,win
2021-09-07,"50,166 / 51,413",2.49%,long,long,win
2021-09-06,"51,483 / 50,166",2.56%,short,short,win
2021-09-05,"50,216 / 51,483",-2.52%,short,long,lose
2021-09-04,"50,680 / 50,216",0.92%,short,short,win
2021-09-03,"49,956 / 50,680",-1.45%,short,long,lose
2021-09-02,"47,460 / 49,956",5.26%,long,long,win
2021-09-01,"47,772 / 47,460",0.65%,short,short,win
2021-08-31,"47,784 / 47,772",0.03%,short,short,win
2021-08-30,"48,356 / 47,784",1.18%,short,short,win
2021-08-29,"48,892 / 48,356",1.10%,short,short,win
2021-08-28,"47,332 / 48,892",3.30%,long,long,win
2021-08-27,"- / 47,332",0.27%,long,long,win
